date,r_f
2002-01,0.0013971247472674975
2002-02,0.0014325372325318941
2002-03,0.001413790979574392
2002-04,0.0014490249826515367
2002-05,0.0013971247472674975
2002-06,0.0013783407284471139
2002-07,0.0014054906945446533
2002-08,0.0013700054322218769
2002-09,0.0012990445023763897
2002-10,0.0011760393347377551
2002-11,0.00100884724316197
2002-12,0.0009418439414785595
2003-01,0.0009502728286270301
2003-02,0.0009900234415292086
2003-03,0.0009460434927694994
2003-04,0.0009063468227559213
2003-05,0.0009293451939715869
2003-06,0.0006589693139618102
2003-07,0.0007303257194968271
2003-08,0.0008057841605597638
2003-09,0.0007072134164165522
2003-10,0.0007596719853508738
2003-11,0.0007471014742914672
2003-12,0.0006862839378234398
2004-01,0.0006862684495343441
2004-02,0.0007743463163107922
2004-03,0.0007659805394035768
2004-04,0.0006715813613389354
2004-05,0.0007533823360565961
2004-06,0.0009356527294064332
2004-07,0.001059026976440114
2004-08,0.0011926248122935412
2004-09,0.0012073541753663264
2004-10,0.0014449984742752608
2004-11,0.0016777714024822643
2004-12,0.0015761031760443966
2005-01,0.0017837020088629085
2005-02,0.0020572391393689493
2005-03,0.0021402840252884303
2005-04,0.0022311676322028795
2005-05,0.0022638861269905775
2005-06,0.0024541855025037584
2005-07,0.002651827370940385
2005-08,0.002742578026127651
2005-09,0.002616838711374969
2005-10,0.0030293079650935972
2005-11,0.003250071290167078
2005-12,0.0032304813573289515
2006-01,0.0035361195883163443
2006-02,0.0036135741509863983
2006-03,0.0037488842932320576
2006-04,0.0037651692485471955
2006-05,0.0038307663164520722
2006-06,0.0038221461477707663
2006-07,0.004099965356885171
2006-08,0.004045946299537251
2006-09,0.003793661672149451
2006-10,0.004194536938778359
2006-11,0.004058126449480337
2006-12,0.0038892567073880446
2007-01,0.004074637798270775
2007-02,0.004188246985550315
2007-03,0.00411466919941228
2007-04,0.003878348175198054
2007-05,0.003830524692910009
2007-06,0.0037000138366551916
2007-07,0.0041581474292511356
2007-08,0.003396085052623121
2007-09,0.0028245362933203566
2007-10,0.0032594731856683268
2007-11,0.0026435958266757265
2007-12,0.0023506711913776623
2008-01,0.0013762881219014922
